index,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group,loan_to_income_ratio,loan_to_emp_length_ratio,int_rate_to_loan_amt_ratio,credit_risk_score,risk_category
58,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,20-25,high,very large,0.234375,0.0003,0.000243,0.04967140224478113,Low Risk
60,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,20-25,high,very large,0.22900763358778625,0.0,0.00019966666666666668,0.02361908600152501,Low Risk
61,22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,20-25,high,large,0.04363636363636364,0.0005,0.000965,0.001473673889359006,Low Risk
63,25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,20-25,high,very large,0.1126887536623845,0.00036,0.000628,0.21446875759828035,Low Risk
64,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,20-25,middle,very large,0.4157142857142857,0.0002061855670103093,0.0005494845360824742,0.8698430556025686,High Risk
65,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,20-25,low,small,0.125,0.004666666666666667,0.009893333333333334,0.7342785805636898,High Risk
66,26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,20-25,high,very large,0.1076923076923077,0.00035714285714285714,0.0003925,0.0017388801402649567,Low Risk
67,25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,20-25,high,very large,0.07722007722007722,0.00045,0.000721,0.14651151399912407,Low Risk
68,24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,20-25,high,medium,0.03764705882352941,0.0009375,0.000728125,0.006580920013418964,Low Risk
69,25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,20-25,high,very large,0.1,8e-05,0.0005396,0.037627157936856455,Low Risk
72,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,20-25,low,small,0.25,0.002,0.004536666666666666,0.09372694811254131,Low Risk
73,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,20-25,middle,very large,0.4307692307692308,7.142857142857143e-05,0.00028214285714285716,0.43942682816406214,Medium Risk
74,26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,20-25,high-middle,very large,0.32941176470588235,7.142857142857143e-05,0.0002675,0.1050523431075627,Low Risk
75,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,20-25,low,medium,0.5083333333333333,0.0003278688524590164,0.0012311475409836066,0.49190205523110275,Medium Risk
76,22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,20-25,high-middle,very large,0.3181818181818182,0.00021428571428571427,0.00035392857142857144,0.09712420531198604,Low Risk
77,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,20-25,low,small,0.35,0.0,0.0032095238095238097,0.2850833155844383,Low Risk
78,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,20-25,low,small,0.3958333333333333,0.0012631578947368421,0.001503157894736842,0.2966867886258474,Low Risk
79,24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,20-25,high-middle,very large,0.33733314057153874,0.0,0.0005710714285714286,0.682420143445389,High Risk
80,24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,20-25,high,very large,0.072,0.00011111111111111112,0.0007211111111111112,0.029581256251585277,Low Risk
82,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,20-25,high-middle,very large,0.28,0.00017857142857142857,0.0004532142857142857,0.22194171507516586,Low Risk
83,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,20-25,high,very large,0.2545454545454545,0.00035714285714285714,0.0003178571428571429,0.0641253952833776,Low Risk
86,23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,20-25,high,very large,0.18518518518518517,0.00025,0.00039678571428571427,0.050344195988655596,Low Risk
88,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,20-25,low,small,0.2708333333333333,0.0015384615384615385,0.004824615384615385,0.957121121085849,High Risk
89,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,20-25,middle,very large,0.39285714285714285,0.00014545454545454546,0.00047490909090909094,0.4643298511098752,Medium Risk
91,26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,20-25,middle,very large,0.36953551912568305,0.00018484288354898336,0.000577449168207024,0.7743093760515436,High Risk
92,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,20-25,high-middle,very large,0.3253012048192771,0.00018518518518518518,0.0004996296296296296,0.2216223890356684,Low Risk
94,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,20-25,middle,very large,0.416,0.0002692307692307692,0.0004503846153846154,0.5473660132452891,Medium Risk
95,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,20-25,high,very large,0.21333333333333335,3.90625e-05,0.0004957031249999999,0.07294041632513316,Low Risk
96,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,20-25,low,small,0.12944983818770225,0.00125,0.008481250000000001,0.06612335916361202,Low Risk
97,22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,20-25,middle,very large,0.4245833333333333,0.0,0.00043140333660451424,0.5202434088116497,Medium Risk
98,25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,20-25,high,very large,0.08547008547008547,0.00015,0.0007134999999999999,0.016202268835386505,Low Risk
99,24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,20-25,high,very large,0.08547008547008547,0.0004,0.00044400000000000006,0.0019266397663128799,Low Risk
100,26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,20-25,high,very large,0.09230769230769231,0.000462962962962963,0.0005638888888888888,0.020929450190102183,Low Risk
101,25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,20-25,high,large,0.053845179272773346,0.0005042016806722689,0.001211764705882353,0.25701902740661153,Low Risk
102,26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,20-25,high,very large,0.10752688172043011,0.0,0.0005668,0.01623119017943323,Low Risk
103,25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,20-25,high,very large,0.15217391304347827,0.00014285714285714287,0.00039971428571428574,0.01468435277888483,Low Risk
104,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,20-25,high-middle,very large,0.30481927710843376,0.0002766798418972332,0.0004343873517786561,0.1877923210753074,Low Risk
106,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,20-25,low,small,0.1388888888888889,0.0017142857142857142,0.007777142857142857,0.04830769664209759,Low Risk
107,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,20-25,low-middle,very large,0.5882352941176471,0.00012,0.0005092,0.9366942198632724,High Risk
109,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,20-25,low,small,0.2340823970037453,0.0,0.0042899999999999995,0.17244604855450876,Low Risk
110,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,20-25,low,small,0.2816358024691358,0.000273972602739726,0.002715068493150685,0.5739223942032067,Medium Risk
111,26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,20-25,high,very large,0.08849557522123894,0.0002,0.0005745,0.02011534879067001,Low Risk
112,25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,20-25,high,very large,0.13333333333333333,0.0,0.0006636666666666667,0.28171845470639567,Low Risk
113,26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,20-25,high,very large,0.1643192488262911,0.00017142857142857143,0.0003042857142857143,0.0071908568572813135,Low Risk
115,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,20-25,low,small,0.3472222222222222,0.0,0.002628888888888889,0.7371270030115376,High Risk
116,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,20-25,low,small,0.18467220683287167,0.0,0.005620833333333334,0.1266040056277665,Low Risk
117,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,20-25,low-middle,very large,0.5952380952380952,0.00024,0.0005836,0.9949079555128163,High Risk
118,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,20-25,low-middle,very large,0.5208333333333334,8e-05,0.00038560000000000005,0.8163302290066963,High Risk
119,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,20-25,low,small,0.2770083102493075,0.0002777777777777778,0.0040527777777777775,0.6073300656795723,High Risk
121,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,20-25,low-middle,very large,0.5901794145420207,4e-05,0.0006540000000000001,0.9947002389691962,High Risk
122,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,20-25,low-middle,very large,0.5102040816326531,0.00016,0.0004396,0.797145589569607,High Risk
123,25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,20-25,high,very large,0.1111111111111111,0.0,0.0007468,0.1205848810541516,Low Risk
124,26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,20-25,high,small,0.013333333333333334,0.0003333333333333333,0.003106666666666667,0.050315446397921286,Low Risk
125,23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,20-25,high,medium,0.03333333333333333,0.0010666666666666667,0.0011506666666666668,0.060787397884929775,Low Risk
126,26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,20-25,high,very large,0.1111111111111111,8e-05,0.0004032,0.0053308272739272765,Low Risk
127,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,20-25,low-middle,very large,0.5054180818372959,0.0002,0.0004732,0.7897858109225506,High Risk
128,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,20-25,low-middle,very large,0.5,4e-05,0.00031600000000000004,0.8669164755804475,High Risk
129,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,20-25,low-middle,very large,0.5,0.00016,0.0002396,0.8459956224404787,High Risk
130,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,20-25,low-middle,very large,0.5681818181818182,8e-05,0.0006132,0.995928172684004,High Risk
131,23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,20-25,low-middle,very large,0.5,4e-05,0.0004732,0.7368623728148584,High Risk
132,22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,20-25,middle,very large,0.49996000319974404,0.0,0.0004144,0.7143876277546083,High Risk
133,22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,20-25,middle,very large,0.49996000319974404,0.00012,0.0004892,0.7525765790879145,High Risk
134,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,20-25,middle,very large,0.4807692307692308,8e-05,0.00044439999999999996,0.7390153188999637,High Risk
135,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,20-25,low,small,0.375,0.0006060606060606061,0.001595959595959596,0.24523451417423067,Low Risk
136,24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,20-25,high,very large,0.11363636363636363,4e-05,0.0004632,0.010062280090349509,Low Risk
137,23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,20-25,high,very large,0.09722222222222222,0.0002380952380952381,0.00042380952380952384,0.013716313801120834,Low Risk
138,25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,20-25,high,very large,0.11574074074074074,8e-05,0.0006428,0.07544261308786326,Low Risk
139,26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,20-25,high,very large,0.09259259259259259,0.0005,0.000711,0.011923875135892386,Low Risk
140,23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,20-25,high,very large,0.16279069767441862,0.0002,0.00042257142857142857,0.016998091016661596,Low Risk
141,26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,20-25,high,large,0.05581395348837209,0.0009166666666666666,0.0006566666666666666,0.005429972168633641,Low Risk
142,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,20-25,middle,very large,0.4807692307692308,4e-05,0.0005288000000000001,0.8238937245629595,High Risk
143,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,20-25,low-middle,very large,0.5434782608695652,8e-05,0.0004744,0.9942452506615287,High Risk
144,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,20-25,middle,very large,0.4716981132075472,0.0002,0.0005371999999999999,0.7634749245388605,High Risk
145,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,20-25,low-middle,very large,0.5319148936170213,0.0,0.0006112,0.9948740908245743,High Risk
146,23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,20-25,low-middle,very large,0.5319148936170213,4e-05,0.0007172,0.9861911111055641,High Risk
147,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,20-25,low,small,0.10606060606060606,0.0014285714285714286,0.0066071428571428574,0.07167871770299432,Low Risk
148,21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,20-25,low,small,0.3409090909090909,0.0,0.0028844444444444447,0.15619717049456935,Low Risk
149,22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,20-25,high,very large,0.0761904761904762,0.000375,0.00066375,0.005355970482926526,Low Risk
150,26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,20-25,high,very large,0.10476190476190476,0.00045454545454545455,0.0005377272727272727,0.0019049315060369581,Low Risk
151,26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,20-25,low-middle,very large,0.5208333333333334,0.0002,0.0007372,0.9862111756704391,High Risk
154,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,20-25,middle,very large,0.45454545454545453,0.00016,0.0004544,0.6922256573637303,High Risk
155,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,20-25,middle,very large,0.45454545454545453,0.00016,0.000626,0.9642548275744305,High Risk
156,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,20-25,middle,very large,0.4531941121020956,0.00032,0.0005288000000000001,0.75231809565998,High Risk
157,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,20-25,middle,very large,0.44642857142857145,0.00016,0.0005147999999999999,0.7883551839915551,High Risk
158,24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,20-25,high,very large,0.09828009828009827,0.0004,0.0006519999999999999,0.0025300052950454647,Low Risk
159,23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,20-25,high,very large,0.11578947368421053,0.00022727272727272727,0.000799090909090909,0.13060808579403588,Low Risk
160,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,20-25,low,medium,0.5567528735632183,0.00025806451612903227,0.0021987096774193546,0.9787607620704762,High Risk
161,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,20-25,middle,very large,0.4166666666666667,0.0,0.0004396,0.5325130699105162,Medium Risk
162,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,20-25,middle,very large,0.4166666666666667,8e-05,0.00044439999999999996,0.5228273824469712,Medium Risk
163,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,20-25,middle,very large,0.46296296296296297,0.00028,0.0005932,0.982451205709255,High Risk
165,24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,20-25,high,large,0.06,0.0006666666666666666,0.0010575,0.04443900042014036,Low Risk
166,24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,20-25,high,large,0.06,0.0006666666666666666,0.0011241666666666668,0.034165111936722385,Low Risk
167,21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,20-25,high,very large,0.08,0.0003125,0.000915625,0.014842518146804382,Low Risk
168,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,20-25,middle,very large,0.46296296296296297,0.00012,0.0006728,0.9884681395782338,High Risk
